服务月数tenure,年龄age,婚姻状况marital,地址居住年数address,家庭收入income,受教育水平ed,现职位工作年数employ,是否退休retire,性别gender,家庭人数reside,免费电话服务tollfree,设备租赁equip,电话卡服务callcard,无线服务wireless,上月长途longmon,上月免费电话tollmon,上月设备equipmon,上月电话卡cardmon,上月无线wiremon,多线路multline,语音邮件voice,寻呼服务pager,互联网internet,来电显示callid,呼叫等待callwait,呼叫转移forward,是否支持电话会议confer,是否支持电子凭证ebill,客户类别custcat,是否流失churn
60,57,未婚,38,162,中学学历,30,是,男,1,是,是,是,否,16.15,29.75,31.3,30,0,是,否,否,否,是,是,是,是,否,附加服务,否
34,48,未婚,3,NA,中学学历,6,是,女,3,是,否,否,否,6.65,18.5,0,0,0,否,否,否,否,否,是,是,是,否,附加服务,否
1,24,未婚,3,20,未完成中学学历,3,是,男,1,否,否,否,否,1.05,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
26,29,已婚,NA,77,大学学位,2,是,NA,4,否,是,是,是,6.7,0,48.1,24.25,38.3,是,是,否,是,是,是,是,是,是,总服务,是
6,30,未婚,NA,16,社区学院,1,是,NA,1,否,是,否,是,3.75,0,33.8,0,18.7,是,否,是,是,否,是,否,否,否,电子服务,是
68,52,已婚,17,NA,未完成中学学历,NA,是,男,2,否,否,是,否,20.7,0,0,22,0,否,否,否,否,否,否,是,否,否,基础服务,否
53,33,未婚,10,101,研究生学位,4,是,女,2,否,是,是,是,5.3,0,49.6,26.75,51.4,是,是,否,是,否,是,是,是,是,总服务,否
55,48,已婚,NA,67,未完成中学学历,25,是,NA,3,否,否,是,否,15.05,0,0,27.25,0,否,否,否,否,否,否,否,否,否,基础服务,否
14,43,已婚,18,36,未完成中学学历,5,是,男,5,是,否,是,否,12.5,19.75,0,18,0,否,否,否,否,是,是,是,是,否,附加服务,否
1,21,未婚,0,NA,中学学历,0,是,女,3,是,否,是,否,2.2,20.75,0,40.5,0,否,否,否,否,否,是,是,是,否,附加服务,否
42,40,未婚,7,37,中学学历,NA,NA,女,1,是,是,是,是,8.25,23.5,36.9,28,37.4,是,是,否,是,是,是,否,是,是,总服务,否
25,33,已婚,11,31,未完成中学学历,5,是,男,4,否,否,否,否,9.1,0,0,0,0,是,否,否,否,是,否,是,否,否,附加服务,否
9,21,已婚,1,17,中学学历,2,是,女,3,否,否,否,否,2.9,0,0,0,0,否,否,否,否,是,否,否,否,否,基础服务,否
13,33,已婚,NA,19,大学学位,0,是,女,2,否,是,否,否,5.55,0,27.35,0,0,是,否,否,是,否,否,否,是,是,电子服务,否
56,37,已婚,6,36,未完成中学学历,13,是,女,2,否,是,是,否,10.6,0,31.1,18.25,0,是,否,否,是,否,否,否,否,是,电子服务,否
71,53,已婚,27,NA,研究生学位,12,是,男,2,是,否,是,是,21,56,0,34,49.95,是,是,否,是,否,否,是,是,是,总服务,否
35,50,已婚,26,140,中学学历,NA,NA,女,4,是,否,是,否,6.5,27.5,0,35,0,否,否,否,否,否,是,是,是,否,附加服务,否
11,27,已婚,NA,55,研究生学位,0,是,男,3,否,是,否,否,4.8,0,19.55,0,0,是,否,否,是,否,否,否,否,否,电子服务,否
60,46,NA,13,163,社区学院,24,是,男,2,是,是,是,是,33.9,38.25,44.65,13.75,55.25,是,是,是,是,否,是,是,是,是,总服务,否
20,35,已婚,NA,52,大学学位,NA,NA,男,NA,否,是,否,否,4.25,0,30.55,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
NA,60,未婚,38,211,大学学位,25,是,男,1,是,是,是,是,21.15,39.25,46.35,54.25,54.85,是,是,是,是,是,否,否,是,是,总服务,否
44,57,已婚,1,186,中学学历,17,是,男,2,是,否,是,是,9.8,33.5,0,36,41.65,是,是,否,否,是,是,是,是,否,附加服务,否
11,41,已婚,0,39,未完成中学学历,1,是,女,2,是,否,是,否,6.55,29.25,0,19.75,0,否,是,否,否,是,是,是,是,否,附加服务,是
72,57,未婚,NA,NA,中学学历,35,否,女,1,是,否,是,否,41.75,49,0,18.75,0,是,否,否,否,是,是,是,是,否,附加服务,否
10,41,未婚,NA,30,未完成中学学历,7,是,男,1,是,否,是,否,2.5,19.25,0,53.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
NA,28,未婚,0,29,中学学历,4,是,NA,1,是,否,是,否,4.25,30,0,17.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
NA,28,已婚,4,23,中学学历,8,是,男,5,否,否,否,否,6.2,0,0,0,0,否,否,否,否,是,否,否,否,否,基础服务,否
9,36,NA,14,62,大学学位,10,是,男,6,否,是,否,是,5.65,0,46.75,0,48.5,是,是,是,是,否,否,否,是,是,总服务,是
64,NA,NA,20,76,大学学位,NA,NA,女,4,是,否,是,否,14.7,18.75,0,11,0,是,否,否,否,是,是,否,是,否,附加服务,否
65,41,NA,NA,74,大学学位,16,是,男,2,否,是,是,否,14.5,0,37,17,0,是,是,否,是,否,否,否,否,是,电子服务,否
49,51,NA,27,63,大学学位,19,是,男,5,是,否,是,否,12.85,25.75,0,14.25,0,是,否,否,是,否,是,否,否,是,电子服务,否
47,41,已婚,0,36,大学学位,8,是,男,2,否,是,是,是,7.75,0,37.45,18.5,38.8,是,否,是,是,否,是,否,是,是,总服务,是
9,34,已婚,9,33,中学学历,8,是,女,4,否,是,否,否,2.95,0,22.95,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
5,36,未婚,14,29,中学学历,9,是,女,1,是,否,是,是,3.25,31.5,0,15.5,26.75,否,否,否,是,是,是,是,是,是,附加服务,是
30,34,已婚,4,NA,中学学历,NA,NA,男,5,否,是,否,否,6.3,0,22.5,0,0,否,否,否,是,否,否,否,否,否,基础服务,是
56,52,已婚,28,49,中学学历,NA,NA,男,4,否,否,是,否,24.75,0,0,22.25,0,是,否,否,否,否,否,否,否,否,电子服务,否
10,22,NA,0,24,大学学位,0,是,男,1,是,是,是,是,7.8,23.75,37.25,22.5,30.05,是,是,是,是,是,是,是,是,是,总服务,否
7,26,已婚,3,26,中学学历,NA,NA,男,5,是,否,否,否,4.85,15.5,0,0,0,否,否,否,否,否,是,否,否,否,基础服务,否
52,27,未婚,6,47,社区学院,5,是,男,2,是,否,是,否,6.25,18.5,0,14.25,0,否,否,否,否,是,否,否,否,是,基础服务,否
36,45,已婚,1,94,中学学历,18,是,女,5,是,是,否,否,7.2,15.75,28.35,0,0,否,否,是,是,是,否,否,是,否,基础服务,是
27,34,未婚,8,21,社区学院,4,是,女,1,否,否,否,否,7.65,0,0,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
58,62,已婚,NA,NA,未完成中学学历,0,是,男,2,否,否,是,否,15.5,0,0,34.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
41,52,未婚,27,NA,中学学历,2,是,女,1,是,否,是,是,10.4,28,0,19,27.5,否,否,否,否,是,是,是,是,否,附加服务,否
47,40,NA,16,127,大学学位,12,是,女,4,否,是,是,否,19.7,0,28.15,14.75,0,是,否,否,是,否,否,否,否,是,电子服务,否
55,39,已婚,15,137,中学学历,20,是,女,2,是,否,是,否,12.7,27.5,0,11.5,0,否,是,否,否,是,是,是,是,否,附加服务,是
56,50,已婚,1,NA,中学学历,24,是,女,4,是,否,是,是,28.8,55.5,0,21.25,61.1,是,是,是,否,是,是,是,是,否,总服务,否
35,55,未婚,24,30,中学学历,2,是,男,1,否,否,是,否,10.25,0,0,15.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
69,51,NA,11,NA,大学学位,23,是,女,2,否,是,是,否,29,0,47.05,24.75,0,是,否,是,是,是,否,否,是,否,总服务,否
44,39,NA,16,79,中学学历,16,是,男,1,是,是,是,是,15.25,24.5,37.45,27.25,30.05,是,否,是,是,是,是,是,是,是,总服务,是
36,47,已婚,16,63,未完成中学学历,23,是,男,2,否,否,是,否,9.05,0,0,6.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
28,51,已婚,22,NA,社区学院,10,是,女,6,是,否,否,否,8.95,21.25,0,0,0,否,否,否,否,是,是,是,是,否,附加服务,否
72,67,已婚,44,NA,未完成中学学历,34,否,男,2,是,否,是,否,57.05,51.5,0,19.25,0,是,否,否,否,是,是,是,是,否,附加服务,否
16,27,未婚,5,37,社区学院,5,是,男,4,否,否,否,否,6,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
3,43,未婚,19,61,大学学位,NA,NA,女,1,否,是,是,是,3.15,0,27.25,16.25,17.95,否,否,否,是,是,否,否,是,是,基础服务,是
40,57,已婚,15,NA,中学学历,9,是,男,2,否,否,是,否,8.55,0,0,19.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
16,39,NA,6,44,大学学位,3,是,女,1,否,是,否,否,6.6,0,23.3,0,0,是,否,否,是,否,否,否,否,是,电子服务,否
20,42,NA,4,17,社区学院,5,是,男,1,否,否,否,否,7.8,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
48,43,NA,NA,110,研究生学位,15,是,女,3,否,是,否,是,7.25,0,33.5,0,20.65,是,是,否,是,否,否,否,否,是,电子服务,否
64,48,已婚,13,91,中学学历,NA,NA,男,2,是,否,是,是,24.5,24.75,0,12.5,29.65,是,否,否,否,是,是,是,是,否,附加服务,否
8,46,未婚,3,46,中学学历,8,是,NA,1,否,是,否,否,3.15,0,25.05,0,0,否,否,是,是,否,否,否,否,是,基础服务,否
40,38,已婚,10,85,社区学院,12,是,男,2,否,否,否,否,10.6,0,0,0,0,否,否,否,否,是,是,是,是,否,附加服务,是
38,71,未婚,27,NA,中学学历,12,否,男,1,否,否,否,否,11.2,0,0,0,0,否,否,否,否,否,否,否,是,否,基础服务,否
NA,68,未婚,28,NA,NA,47,是,女,1,是,否,是,否,30.25,30.25,0,30.75,0,否,是,否,否,是,是,是,是,否,附加服务,否
26,42,未婚,0,NA,大学学位,15,是,女,1,是,是,是,是,7.85,44,49.6,10.5,43.75,是,是,是,是,是,是,是,是,是,总服务,否
41,34,NA,15,83,研究生学位,1,是,女,2,是,否,是,否,8.9,33.75,0,5.75,0,是,是,是,是,是,是,是,是,否,总服务,否
2,31,未婚,2,NA,未完成中学学历,6,是,男,1,否,是,否,否,1.65,0,21.6,0,0,否,否,否,否,否,否,否,是,否,基础服务,是
20,48,已婚,29,24,中学学历,NA,NA,男,2,是,否,是,否,11.85,22.5,0,35,0,是,是,是,否,是,是,是,是,否,总服务,是
31,53,NA,2,NA,NA,31,是,女,1,是,否,是,否,5.5,31.5,0,19.25,0,否,否,是,否,是,是,是,是,否,附加服务,否
45,52,已婚,4,169,大学学位,29,是,女,4,否,是,是,否,14.65,0,40.45,14.25,0,是,否,否,是,否,否,否,否,否,电子服务,否
33,27,已婚,NA,46,中学学历,7,是,男,4,否,是,否,否,7.25,0,29.15,0,0,否,否,否,否,否,否,否,否,是,基础服务,否
10,26,未婚,6,34,社区学院,3,是,男,1,否,是,否,否,4.85,0,27.7,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
62,54,已婚,2,50,大学学位,3,是,男,2,否,是,是,是,17.25,0,48,87.5,33.25,是,是,是,是,是,否,是,否,是,总服务,是
4,35,未婚,16,161,研究生学位,6,是,女,1,是,是,否,是,3.4,23.75,49.8,0,35.75,否,是,是,是,是,是,是,是,是,总服务,是
42,47,已婚,17,212,大学学位,17,是,男,2,是,否,是,否,7.45,26.75,0,24.75,0,否,否,否,否,是,是,是,否,否,附加服务,否
27,51,已婚,3,NA,研究生学位,11,是,男,3,否,是,否,否,7.1,0,39.4,0,0,是,否,是,是,否,否,否,否,是,电子服务,否
38,42,未婚,1,NA,大学学位,7,是,女,1,是,否,否,否,13.2,27.5,0,0,0,否,否,否,否,否,是,否,否,否,基础服务,否
52,61,已婚,3,53,研究生学位,1,是,女,2,否,是,是,是,12.25,0,38.4,8.75,35.95,是,是,否,是,否,否,否,是,是,电子服务,否
35,33,未婚,9,73,研究生学位,4,是,女,1,是,否,是,是,5.85,38.25,0,22.25,40.35,是,是,是,是,是,是,是,是,是,总服务,否
3,20,已婚,1,NA,中学学历,0,是,女,4,否,否,否,否,3.75,0,0,0,0,否,否,否,否,否,否,否,否,是,基础服务,是
17,33,未婚,NA,23,研究生学位,3,是,男,1,否,是,是,是,10.2,0,36.4,14.5,30.9,是,是,否,是,是,是,否,否,是,总服务,是
55,53,已婚,NA,NA,未完成中学学历,8,是,男,2,否,否,否,否,5.7,0,0,0,0,否,否,否,否,否,是,是,是,否,附加服务,否
43,36,已婚,5,107,未完成中学学历,19,是,女,3,是,否,是,否,11.55,12.75,0,21.5,0,是,否,否,否,否,否,否,否,否,电子服务,是
47,25,已婚,5,21,未完成中学学历,1,是,女,2,是,否,是,否,8.65,30.5,0,9,0,否,否,否,否,否,是,是,是,否,附加服务,是
65,58,未婚,30,83,中学学历,16,是,女,1,否,否,是,否,19.3,0,0,22.75,0,是,否,否,否,否,是,否,否,否,电子服务,否
13,20,NA,1,NA,社区学院,0,是,男,5,否,是,是,否,3.05,0,31.3,14,0,是,否,否,是,是,是,是,是,是,总服务,否
64,25,已婚,4,76,社区学院,2,是,女,6,否,是,是,否,24.05,0,35.4,21.25,0,是,否,否,否,是,否,是,是,是,附加服务,否
12,NA,未婚,2,19,未完成中学学历,0,是,男,1,是,否,是,否,4,24.75,0,27.25,0,否,否,否,否,是,是,是,是,否,附加服务,是
29,32,已婚,0,49,大学学位,3,是,女,3,否,是,否,否,6.7,0,33,0,0,是,否,是,是,否,否,否,否,是,电子服务,是
23,47,未婚,21,173,社区学院,22,是,女,1,否,否,否,否,7.6,0,0,0,0,是,否,否,否,是,否,否,是,是,电子服务,否
14,35,未婚,4,47,社区学院,10,是,女,1,是,否,否,是,5,21.75,0,0,24.15,是,否,否,否,否,否,是,是,是,电子服务,是
35,61,未婚,23,41,中学学历,11,是,男,1,否,否,是,否,9.6,0,0,9.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
26,39,未婚,8,105,社区学院,13,是,女,1,是,否,是,是,6.6,39.75,0,37.25,38.25,是,是,是,否,是,是,是,是,是,总服务,否
13,54,未婚,NA,31,大学学位,2,是,男,1,否,否,否,否,5.85,0,0,0,0,否,是,否,是,否,否,否,否,是,基础服务,否
69,40,已婚,13,41,中学学历,17,是,男,3,否,否,是,否,25.25,0,0,33,0,是,否,否,否,否,否,否,否,否,电子服务,否
61,50,NA,30,NA,大学学位,9,是,女,3,否,否,是,否,12.6,0,0,12.5,0,是,否,否,是,否,否,否,否,是,电子服务,否
45,22,已婚,2,36,大学学位,0,是,女,5,是,是,否,否,9.95,14.75,26.15,0,0,是,否,否,否,否,否,否,否,否,电子服务,是
3,37,未婚,13,24,未完成中学学历,3,是,女,1,否,否,否,否,2,0,0,0,0,否,是,否,否,否,否,否,是,是,基础服务,否
53,22,未婚,1,25,NA,NA,NA,男,2,否,是,是,否,12.05,0,27.15,6.5,0,是,否,否,是,否,否,否,否,是,电子服务,否
59,NA,未婚,1,68,中学学历,21,是,女,1,是,否,是,否,17.3,21.25,0,19.25,0,是,否,否,否,是,是,是,是,否,附加服务,否
13,34,未婚,11,20,社区学院,NA,NA,NA,1,否,否,否,否,4.8,0,0,0,0,否,否,否,是,否,否,否,否,否,基础服务,否
31,31,未婚,4,48,未完成中学学历,15,是,男,1,否,否,否,否,3.8,0,0,0,0,否,否,否,否,否,是,是,是,否,附加服务,否
40,29,已婚,6,40,中学学历,8,是,女,5,否,否,否,否,13,0,0,0,0,否,否,否,否,否,是,是,是,否,附加服务,否
48,55,未婚,15,79,未完成中学学历,25,是,男,1,否,否,是,否,13.8,0,0,25.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
3,31,未婚,1,28,未完成中学学历,0,是,男,1,是,是,是,否,3.45,15.5,23.3,23.5,0,否,否,否,是,否,否,是,否,否,基础服务,是
51,48,未婚,12,64,中学学历,22,是,女,1,否,否,是,否,14.8,0,0,17,0,否,否,否,否,否,否,否,否,否,基础服务,否
33,41,未婚,15,37,中学学历,11,是,男,1,否,否,否,否,12.2,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
14,47,已婚,7,48,未完成中学学历,13,是,男,2,是,否,否,否,4.25,11,0,0,0,否,否,否,否,否,否,否,是,否,基础服务,否
17,42,NA,6,131,研究生学位,NA,NA,男,3,否,是,否,是,5.8,0,35.35,0,21.65,是,否,否,是,否,否,否,否,是,电子服务,是
19,29,已婚,9,18,中学学历,2,是,男,3,否,否,否,否,5.4,0,0,0,0,否,否,否,是,否,否,是,否,是,基础服务,是
58,36,未婚,10,38,中学学历,14,是,女,1,否,否,是,否,10.15,0,0,17.75,0,是,否,否,否,否,否,否,否,否,电子服务,否
22,23,未婚,3,37,NA,4,是,女,3,否,是,是,是,5.35,0,28.1,9,24.7,否,是,否,是,是,否,否,是,是,总服务,否
29,31,已婚,1,60,大学学位,NA,是,男,5,否,是,否,否,9.6,0,26.75,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
14,22,已婚,2,13,社区学院,0,是,女,4,否,是,否,否,9.45,0,26.85,0,0,是,否,否,是,否,否,否,否,否,电子服务,是
70,64,已婚,18,NA,未完成中学学历,31,是,女,2,是,否,是,是,26.15,84,0,11.25,45.45,是,是,是,否,是,是,是,是,否,总服务,否
62,NA,已婚,NA,NA,未完成中学学历,23,是,男,2,是,否,是,是,23.15,36.75,0,36,34.3,是,否,否,否,否,否,是,是,否,附加服务,是
NA,NA,已婚,0,47,未完成中学学历,14,是,男,5,否,否,否,否,5.2,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
56,47,已婚,NA,65,中学学历,NA,NA,男,3,是,否,是,是,12.4,48.75,0,36.5,58.4,否,是,是,否,是,是,是,是,否,总服务,否
50,50,已婚,22,150,研究生学位,5,是,女,4,否,是,是,否,19.3,0,33.4,50.75,0,是,是,否,是,否,否,是,否,是,电子服务,是
57,39,未婚,NA,106,研究生学位,8,是,男,1,是,是,是,是,9.05,24.25,41.85,12.25,39.6,是,否,是,否,是,是,是,是,否,附加服务,否
2,40,未婚,19,51,大学学位,14,是,女,1,否,否,否,否,4.25,0,0,0,0,否,是,否,是,否,否,否,否,是,基础服务,否
40,38,未婚,17,96,大学学位,0,是,女,1,否,否,否,否,9.3,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
6,43,未婚,NA,33,研究生学位,7,是,男,2,否,否,是,是,4.25,0,0,16.25,26.75,是,否,是,否,是,是,是,是,否,附加服务,否
23,25,已婚,6,38,中学学历,1,是,女,3,是,是,是,否,13.9,23.25,28.5,3.75,0,是,否,是,否,否,是,是,否,否,附加服务,否
11,32,未婚,6,125,大学学位,5,是,男,1,是,是,是,是,3.8,19.25,61.45,19,58.25,是,是,是,是,是,是,是,是,是,总服务,是
29,37,已婚,13,145,NA,0,是,女,4,是,是,是,是,8.6,24,41.15,17.75,28,否,是,是,是,是,是,是,是,否,总服务,否
42,44,已婚,2,99,中学学历,21,是,男,3,是,否,是,否,22.05,34.75,0,9.75,0,是,否,否,否,否,是,否,是,否,附加服务,否
20,34,已婚,2,22,大学学位,0,是,女,3,是,是,是,是,4.85,18.25,35.05,34.75,31.65,否,否,是,是,是,是,是,是,是,总服务,否
NA,60,已婚,NA,31,未完成中学学历,38,否,男,2,否,否,是,否,32.25,0,0,33.5,0,是,否,否,否,否,否,否,否,否,电子服务,否
2,36,未婚,3,25,NA,6,是,女,1,是,是,是,是,1.9,15.75,28.7,5,24.15,否,否,是,否,是,是,是,是,否,附加服务,否
46,25,未婚,5,57,研究生学位,0,是,女,2,是,是,是,是,20.25,21.25,39.4,9.75,28.35,否,否,否,是,否,否,是,是,是,基础服务,否
39,51,已婚,NA,41,研究生学位,20,是,男,6,是,是,是,是,12.1,20.5,54.3,9.75,35.35,是,是,是,是,是,是,是,是,是,总服务,否
24,25,已婚,NA,20,社区学院,1,是,女,2,否,是,否,否,8.15,0,27.95,0,0,是,否,否,是,是,否,是,否,否,电子服务,是
59,43,已婚,4,101,中学学历,22,是,女,5,否,否,是,否,13.65,0,0,20.75,0,是,否,否,否,否,否,否,是,否,电子服务,否
65,37,未婚,NA,56,中学学历,15,是,男,1,否,否,是,否,10.25,0,0,10.75,0,是,否,否,否,否,否,否,否,否,电子服务,否
50,27,已婚,5,22,中学学历,5,是,女,3,否,否,是,否,17.2,0,0,13.25,0,否,否,否,否,否,否,否,否,否,基础服务,否
57,37,未婚,11,108,大学学位,9,是,女,1,是,是,是,否,21.8,27.25,42,8,0,是,否,否,是,是,是,否,是,否,附加服务,否
61,48,未婚,14,115,大学学位,20,是,女,1,是,是,是,是,12.8,16,39.2,17.25,31,是,是,是,是,是,否,是,是,是,总服务,否
34,54,未婚,31,53,大学学位,22,是,男,1,是,是,是,是,8.1,18,45.6,56.5,66.9,是,是,是,是,否,否,是,否,是,总服务,否
38,53,未婚,13,NA,大学学位,12,是,男,1,是,是,是,是,8.95,37.75,54.1,28.5,50.75,是,是,是,否,是,是,是,是,是,总服务,否
3,24,已婚,2,NA,中学学历,3,是,女,5,是,否,是,否,3.35,22.5,0,9.25,0,否,是,否,是,是,是,否,是,否,附加服务,否
4,47,未婚,5,123,大学学位,11,是,男,1,否,是,是,否,2.5,0,25.3,13.75,0,否,否,否,是,否,否,是,否,是,基础服务,否
15,35,未婚,0,34,未完成中学学历,12,是,男,1,否,否,否,否,3.95,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
25,29,已婚,8,31,大学学位,3,是,女,5,否,是,否,否,12.95,0,33.05,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
21,44,未婚,25,47,未完成中学学历,12,是,女,2,否,否,是,否,7.05,0,0,14.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
50,37,已婚,11,48,社区学院,8,是,女,2,是,否,是,否,12.9,27.75,0,8.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
65,64,已婚,22,13,中学学历,5,否,女,3,是,否,是,否,14.6,33,0,15.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
59,52,已婚,18,78,未完成中学学历,25,是,男,NA,否,否,否,否,18.6,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
29,26,未婚,7,34,未完成中学学历,7,是,女,2,否,否,是,否,6.5,0,0,16,0,否,否,否,否,是,是,否,否,否,附加服务,否
60,46,未婚,17,81,研究生学位,9,是,女,NA,否,是,是,否,17.45,0,39.25,10.25,0,是,否,否,是,否,否,否,否,是,电子服务,否
71,45,已婚,14,86,中学学历,NA,NA,男,NA,否,是,是,否,45.05,0,33,35,0,是,否,否,是,否,否,否,否,否,电子服务,否
38,27,已婚,0,26,大学学位,2,是,男,4,否,是,是,是,12.2,0,38.75,9.25,28.05,否,是,是,是,是,是,是,否,是,总服务,是
16,34,已婚,5,51,中学学历,8,是,女,5,否,否,是,否,4.7,0,0,16.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
7,31,未婚,10,59,社区学院,NA,NA,男,1,否,是,否,否,2.45,0,29.8,0,0,否,是,否,否,否,是,否,否,是,基础服务,否
59,53,未婚,21,112,大学学位,16,是,男,1,否,是,否,是,21.1,0,38.55,0,25.3,是,否,否,是,否,否,否,否,是,电子服务,是
22,56,已婚,14,NA,大学学位,28,是,男,2,是,是,是,是,6.2,18.25,36.65,10.5,28.8,是,是,是,是,是,是,是,是,否,总服务,否
18,48,已婚,20,41,未完成中学学历,2,是,女,2,是,否,是,否,4.35,13,0,8,0,否,否,否,否,是,是,否,否,否,基础服务,否
64,46,已婚,19,168,中学学历,26,是,NA,2,是,是,是,是,14.2,71,73.8,38.75,62.45,是,是,是,是,是,是,是,是,是,总服务,否
7,33,未婚,4,29,大学学位,4,是,女,3,否,是,否,否,4.65,0,28.35,0,0,否,否,否,是,否,否,否,否,是,基础服务,是
65,58,未婚,NA,167,中学学历,14,是,女,2,否,否,是,否,24.3,0,0,17.25,0,是,否,否,否,否,否,否,否,否,电子服务,否
7,NA,未婚,NA,29,NA,3,是,男,3,是,否,否,否,4.45,13.5,0,0,0,否,否,是,是,否,否,否,是,否,基础服务,是
64,55,未婚,28,104,未完成中学学历,26,是,女,1,否,否,是,否,15,0,0,39.25,0,否,否,否,否,是,否,否,是,否,附加服务,否
42,22,已婚,0,46,大学学位,0,是,男,2,是,是,是,是,9.35,20.25,51.35,6,36,是,是,是,是,否,是,是,否,否,总服务,是
33,26,未婚,5,46,大学学位,NA,NA,女,3,是,是,是,是,11,17.5,40.9,6,32.05,否,否,是,是,是,是,是,是,是,总服务,否
3,33,未婚,8,51,大学学位,0,是,女,1,否,是,否,否,2.9,0,19.9,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
69,42,已婚,11,65,中学学历,18,是,男,2,是,是,是,是,14.2,30.5,64.2,31.5,66.55,是,是,是,是,是,是,是,是,是,总服务,否
9,33,未婚,1,48,中学学历,13,是,男,2,是,否,是,否,3.15,13.25,0,30.5,0,否,否,否,否,是,是,否,否,否,基础服务,否
